play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695788,1,Top,Batter_4718623,Pitcher_41201,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 4, 'strikes': 2}]",At-bat 4016957880001: ,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
2,401695788,1,Top,Batter_33804,Pitcher_41201,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}]",At-bat 4016957880002: Pitch 3 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
3,401695788,1,Top,Batter_42179,Pitcher_41201,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 3}]",At-bat 4016957880003: ,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
4,401695788,1,Mid,Batter_34947,Pitcher_41201,Pitch 4 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}]",At-bat 4016957880004: Pitch 4 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
5,401695788,1,Bottom,Batter_41171,Pitcher_5182933,Pitch 4 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 82, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}]",At-bat 4016957880101: Pitch 4 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
6,401695788,1,Bottom,Batter_42403,Pitcher_5182933,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}]",At-bat 4016957880102: Pitch 2 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
7,401695788,1,Bottom,Batter_4109109,Pitcher_5182933,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4016957880103: Pitch 1 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
8,401695788,1,Bottom,Batter_31127,Pitcher_5182933,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 1}]",At-bat 4016957880104: Pitch 2 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
9,401695788,1,Bottom,Batter_41076,Pitcher_5182933,Pitch 7 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Knuckle Curve', 'velocity': 78, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 79, 'balls': 1, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}, {'pitch_number': 7, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 2}]",At-bat 4016957880105: Pitch 7 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
10,401695788,1,End,Batter_4418140,Pitcher_5182933,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 80, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 79, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 2, 'strikes': 3}]",At-bat 4016957880106: ,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
11,401695788,2,Top,Batter_4424286,Pitcher_41201,Pitch 4 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Line Out', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 2, 'strikes': 1}]",At-bat 4016957880201: Pitch 4 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
12,401695788,2,Top,Batter_4683384,Pitcher_41201,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 3}]",At-bat 4016957880202: ,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
13,401695788,2,Top,Batter_32127,Pitcher_41201,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 2, 'strikes': 1}]",At-bat 4016957880203: Pitch 4 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
14,401695788,2,Mid,Batter_39900,Pitcher_41201,,Other,"[{'pitch_number': 1, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 0}]",At-bat 4016957880204: ,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
15,401695788,2,Bottom,Batter_4314013,Pitcher_5182933,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 79, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 2}]",At-bat 4016957880301: Pitch 5 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
16,401695788,2,Bottom,Batter_4109223,Pitcher_5182933,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016957880302: Pitch 1 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
17,401695788,2,Bottom,Batter_41263,Pitcher_5182933,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}]",At-bat 4016957880303: Pitch 4 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
18,401695788,2,End,Batter_41171,Pitcher_5182933,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 2, 'strikes': 2}]",At-bat 4016957880304: ,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
19,401695788,3,Top,Batter_38420,Pitcher_41201,Pitch 4 : Ball In Play,Triple,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Triple', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 2}]",At-bat 4016957880401: Pitch 4 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
20,401695788,3,Top,Batter_4718623,Pitcher_41201,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 0, 'strikes': 2}]",At-bat 4016957880402: Pitch 3 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
21,401695788,3,Top,Batter_33804,Pitcher_41201,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 4, 'strikes': 1}]",At-bat 4016957880403: ,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
22,401695788,3,Top,Batter_42179,Pitcher_41201,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 0, 'strikes': 1}]",At-bat 4016957880404: Pitch 2 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
23,401695788,3,Mid,Batter_34947,Pitcher_41201,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 1, 'strikes': 0}]",At-bat 4016957880405: Pitch 2 : Ball In Play,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
24,401695788,3,Bottom,Batter_42403,Pitcher_5182933,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 2, 'strikes': 3}]",At-bat 4016957880501: ,401695788,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695788,2025-08-06T16:34:42.514270,DET,KC
