"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Soriano, José",667755,"LAA","SI","Sinker",0.2,2,"1033",50.5,"318","0.29","0.357","0.347",17.5,8.2,14.5,"0.297","0.428","0.365",55.2
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0.6,8,"1184",56.4,"294","0.206","0.364","0.305",23,22.8,18.1,"0.251","0.465","0.354",41.3
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",-0.2,-2,"1011",55.2,"289","0.263","0.413","0.345",10.7,8.7,10.6,"0.309","0.531","0.398",54.6
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.6,7,"1076",54.1,"283","0.242","0.423","0.336",17.9,18.7,16.8,"0.267","0.479","0.361",43.9
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",-1.3,-13,"974",54.3,"280","0.361","0.531","0.436",11.5,8.2,10,"0.34","0.523","0.414",48.6
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",0.8,9,"1047",50,"275","0.196","0.329","0.286",23.2,28,23.1,"0.196","0.348","0.284",41
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",2.1,21,"997",52.4,"255","0.179","0.3","0.241",27.2,30.6,23,"0.2","0.388","0.274",41.4
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",0.6,5,"894",46.7,"247","0.3","0.39","0.352",12.5,13.4,22.3,"0.28","0.419","0.337",49.2
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",0.4,4,"855",45.8,"247","0.278","0.471","0.363",16.3,9.7,13.6,"0.306","0.51","0.379",48.3
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",1.1,11,"993",47.3,"246","0.199","0.348","0.281",25.9,25.6,17.2,"0.213","0.421","0.308",52.8
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",-0.2,-2,"960",46.5,"246","0.256","0.425","0.332",14.3,17.1,17.5,"0.29","0.539","0.384",52
"Cease, Dylan",656302,"SD","SL","Slider",0.3,3,"954",45.5,"240","0.223","0.377","0.3",41.8,38.3,24.5,"0.199","0.34","0.265",36.9
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",1.8,16,"891",62.4,"239","0.181","0.33","0.265",19.2,23,18.9,"0.247","0.403","0.319",43.8
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",-0.7,-5,"767",47.5,"237","0.302","0.439","0.37",15.5,9.3,14.3,"0.289","0.423","0.357",50.3
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",0.1,1,"1021",50,"236","0.296","0.458","0.368",21.2,15.3,15.3,"0.297","0.488","0.38",46.5
"Bassitt, Chris",605135,"TOR","SI","Sinker",-0.1,-1,"842",41.7,"232","0.318","0.455","0.381",13.5,14.2,18.3,"0.311","0.494","0.376",43.3
"Valdez, Framber",664285,"HOU","SI","Sinker",1.6,14,"854",43.5,"231","0.257","0.343","0.303",11.1,8.7,19.8,"0.312","0.45","0.358",49.2
"Pivetta, Nick",601713,"SD","FF","4-Seam Fastball",1.6,14,"883",47,"230","0.201","0.33","0.271",24.9,29.6,26,"0.243","0.475","0.34",53.8
"deGrom, Jacob",594798,"TEX","FF","4-Seam Fastball",1.4,12,"843",46.4,"221","0.201","0.392","0.279",23.2,24.9,21.3,"0.23","0.413","0.3",44.4
"Falter, Bailey",663559,"PIT","FF","4-Seam Fastball",0.5,4,"776",45.7,"219","0.229","0.406","0.319",16.6,16.4,16.1,"0.256","0.43","0.334",46.5
"Flaherty, Jack",656427,"DET","FF","4-Seam Fastball",-0.1,-1,"908",47,"219","0.25","0.464","0.357",17.6,23.7,19.3,"0.262","0.494","0.363",46.8
"Bradley, Taj",671737,"TB","FF","4-Seam Fastball",-0.3,-3,"807",45.1,"218","0.277","0.467","0.39",17.1,13.8,16.3,"0.285","0.437","0.37",44.2
"Cease, Dylan",656302,"SD","FF","4-Seam Fastball",-0.3,-3,"861",41.1,"217","0.25","0.44","0.346",27.1,22.6,19.5,"0.237","0.431","0.337",43.9
"Paddack, Chris",663978,"MIN","FF","4-Seam Fastball",0,0,"861",46.4,"214","0.276","0.422","0.328",17.9,16.4,11.9,"0.287","0.482","0.349",47.2
"Priester, Quinn",682990,"MIL","SI","Sinker",0.7,5,"727",43.3,"210","0.259","0.36","0.322",14.1,16.2,23.1,"0.278","0.389","0.328",44.9
"Kikuchi, Yusei",579328,"LAA","SL","Slider",0,0,"799",36.2,"209","0.262","0.465","0.378",24.1,20.1,19.9,"0.276","0.523","0.399",41.7
"Sears, JP",676664,"ATH","FF","4-Seam Fastball",-0.9,-7,"763",39.4,"208","0.267","0.497","0.367",19.8,22.6,16.6,"0.265","0.526","0.367",47.5
"Boyd, Matthew",571510,"CHC","FF","4-Seam Fastball",1.2,10,"861",46,"208","0.238","0.378","0.284",16.5,20.2,17.3,"0.264","0.446","0.324",46.5
"Singer, Brady",663903,"CIN","SI","Sinker",-0.6,-4,"768",41.2,"207","0.259","0.464","0.371",17.7,22.7,20.5,"0.267","0.453","0.373",54.8
"Pepiot, Ryan",686752,"TB","FF","4-Seam Fastball",-0.6,-5,"858",43.2,"206","0.243","0.509","0.373",24.8,25.2,19.7,"0.227","0.436","0.348",48.8
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",2.2,18,"830",45.7,"205","0.143","0.275","0.213",30.3,31.2,23,"0.179","0.334","0.249",34.4
"Heaney, Andrew",571760,"PIT","FF","4-Seam Fastball",-0.8,-6,"777",44.7,"204","0.253","0.517","0.372",18.7,18.6,15.4,"0.279","0.517","0.385",55.8
"Brown, Ben",676962,"CHC","FF","4-Seam Fastball",-1.1,-10,"837",57.5,"204","0.319","0.535","0.403",14.9,13.7,15.8,"0.311","0.619","0.421",50.3
"Rea, Colin",607067,"CHC","FF","4-Seam Fastball",-0.5,-3,"743",43.7,"202","0.297","0.514","0.379",14.6,15.8,16.8,"0.286","0.511","0.363",49
"deGrom, Jacob",594798,"TEX","SL","Slider",1.5,10,"699",38.5,"202","0.196","0.302","0.244",38.7,31.2,27.3,"0.222","0.336","0.268",35.4
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",2,14,"709",37,"201","0.143","0.196","0.182",46.8,43.3,29.9,"0.159","0.197","0.188",21.6
"Webb, Logan",657277,"SF","SI","Sinker",1,8,"766",36.3,"200","0.265","0.403","0.323",12.5,17,23.4,"0.285","0.441","0.339",45.7
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",1.6,13,"785",47.6,"199","0.199","0.347","0.281",21.9,24.1,19,"0.216","0.389","0.303",43.5
"Burke, Sean",680732,"CWS","FF","4-Seam Fastball",-0.1,-1,"751",41.3,"198","0.238","0.354","0.333",23.4,25.3,19.8,"0.21","0.394","0.328",42.2
"Holmes, Grant",656550,"ATL","SL","Slider",1.2,8,"698",35.5,"198","0.188","0.271","0.233",42.2,33.8,25.6,"0.207","0.344","0.266",42.7
"Crochet, Garrett",676979,"BOS","FF","4-Seam Fastball",-0.3,-3,"880",40.3,"197","0.251","0.457","0.354",31.7,38.1,28.2,"0.208","0.425","0.315",51
"Anderson, Tyler",542881,"LAA","FF","4-Seam Fastball",-0.2,-2,"733",38,"197","0.253","0.466","0.358",15.8,14.2,12.6,"0.27","0.562","0.382",42.4
"Holmes, Clay",605280,"NYM","SI","Sinker",0.6,4,"721",38.1,"197","0.298","0.422","0.375",15.4,10.7,18.1,"0.287","0.435","0.379",53.1
"Skenes, Paul",694973,"PIT","FF","4-Seam Fastball",1.9,15,"817",39.2,"196","0.191","0.303","0.256",26.7,30.1,23,"0.205","0.349","0.278",52.9
"Morton, Charlie",450203,"BAL","CU","Curveball",-0.7,-5,"690",38.5,"195","0.246","0.398","0.33",33.9,29.7,21.2,"0.236","0.379","0.31",35.7
"Valdez, Framber",664285,"HOU","CU","Curveball",0.1,0,"669",34.1,"193","0.186","0.287","0.273",45.1,47.2,31.4,"0.17","0.238","0.244",44.2
"Rodón, Carlos",607074,"NYY","FF","4-Seam Fastball",0.5,4,"857",40.2,"193","0.21","0.449","0.337",22.6,21.2,20.7,"0.228","0.478","0.349",46.5
"Fried, Max",608331,"NYY","FC","Cutter",1.9,13,"668",31.5,"192","0.197","0.306","0.276",18.7,14.1,15.8,"0.252","0.373","0.309",32.7
"Springs, Jeffrey",605488,"ATH","FF","4-Seam Fastball",-0.3,-3,"830",41.9,"191","0.251","0.433","0.323",14.9,19.4,15.3,"0.26","0.469","0.344",40.1
"Sale, Chris",519242,"ATL","SL","Slider",2.2,16,"718",48.3,"191","0.153","0.22","0.198",40.1,42.9,26.6,"0.154","0.238","0.205",19.8
"Hendricks, Kyle",543294,"LAA","CH","Changeup",0.6,4,"633",37.8,"190","0.219","0.377","0.261",21,16.3,12.8,"0.238","0.407","0.283",31.6
"Strider, Spencer",675911,"ATL","FF","4-Seam Fastball",-0.3,-2,"709",54.4,"188","0.263","0.431","0.352",16.8,17,19.9,"0.276","0.473","0.365",43.5
"Gausman, Kevin",592332,"TOR","FS","Split-Finger",1,7,"749",37.7,"188","0.167","0.256","0.202",39.8,35.6,21.3,"0.181","0.278","0.212",28.7
"Wheeler, Zack",554430,"PHI","FF","4-Seam Fastball",1.7,15,"878",41.5,"187","0.185","0.363","0.271",32.1,34.8,26.7,"0.187","0.337","0.262",40
"Baz, Shane",669358,"TB","FF","4-Seam Fastball",0,0,"865",44.7,"186","0.274","0.471","0.377",24.1,23.1,20.7,"0.247","0.428","0.35",46.5
"Williams, Trevor",592866,"WSH","FF","4-Seam Fastball",-1.2,-8,"617",42.6,"186","0.345","0.556","0.41",15,17.2,16.4,"0.291","0.456","0.348",46.5
"Rodón, Carlos",607074,"NYY","SL","Slider",1.4,9,"647",30.4,"185","0.133","0.241","0.221",41.6,39.5,25.1,"0.168","0.273","0.238",37.2
"Warren, Will",701542,"NYY","FF","4-Seam Fastball",0.6,5,"732",39.7,"183","0.211","0.368","0.322",25.8,29.5,23.1,"0.224","0.396","0.332",45
"Skubal, Tarik",669373,"DET","CH","Changeup",3,19,"625",32.2,"183","0.161","0.211","0.169",47.2,45.9,31.7,"0.17","0.248","0.185",27.8
"Corbin, Patrick",571578,"TEX","SI","Sinker",0.6,3,"560",31.8,"183","0.252","0.387","0.312",12.4,20.2,20.6,"0.279","0.46","0.357",50.4
"Rodriguez, Eduardo",593958,"AZ","FF","4-Seam Fastball",-1.1,-8,"697",43.6,"183","0.304","0.547","0.401",23.8,27.9,26.4,"0.254","0.47","0.348",42
"Hendricks, Kyle",543294,"LAA","SI","Sinker",-0.2,-1,"634",37.9,"182","0.274","0.433","0.354",11.1,13.2,14.6,"0.264","0.407","0.326",36.9
"Woods Richardson, Simeon",680573,"MIN","FF","4-Seam Fastball",0.2,1,"652",47.2,"181","0.258","0.377","0.343",21.7,21,21.1,"0.236","0.438","0.349",46.1
"Brown, Ben",676962,"CHC","CU","Curveball",-1,-6,"550",37.8,"180","0.256","0.411","0.31",43.4,37.8,28,"0.218","0.331","0.263",42.6
"Keller, Mitch",656605,"PIT","FF","4-Seam Fastball",1.4,10,"735",36.5,"180","0.222","0.327","0.284",17.4,18.9,17.8,"0.281","0.419","0.34",39.8
"Giolito, Lucas",608337,"BOS","FF","4-Seam Fastball",0.5,4,"689",49.2,"179","0.285","0.392","0.34",19.1,19,20.5,"0.299","0.501","0.374",46.5
"Irvin, Jake",663623,"WSH","FF","4-Seam Fastball",-0.8,-5,"661",32.7,"179","0.222","0.443","0.329",16.6,16.2,13.1,"0.29","0.623","0.418",57.4
"Luzardo, Jesús",666200,"PHI","FF","4-Seam Fastball",-0.7,-5,"721",35.1,"178","0.297","0.456","0.374",17.5,18.5,16.4,"0.299","0.49","0.377",48.8
"Bubic, Kris",663460,"KC","FF","4-Seam Fastball",0.6,4,"684",38.1,"178","0.241","0.37","0.312",27.2,25.3,24.1,"0.233","0.366","0.296",35.9
"Williams, Gavin",668909,"CLE","FF","4-Seam Fastball",-0.7,-5,"741",37.9,"178","0.279","0.474","0.378",24.4,17.4,15.5,"0.288","0.519","0.39",45.5
"May, Dustin",669160,"LAD","SI","Sinker",-1,-6,"601",36.1,"177","0.285","0.589","0.42",10.2,9,21.3,"0.347","0.633","0.454",58.4
"Verlander, Justin",434378,"SF","FF","4-Seam Fastball",-1.2,-8,"721",47.1,"177","0.283","0.539","0.405",19.8,14.7,13.7,"0.314","0.594","0.42",43.8
"Francis, Bowden",670102,"TOR","FF","4-Seam Fastball",-0.7,-5,"657",57.6,"177","0.28","0.497","0.366",14.8,14.7,14.4,"0.288","0.481","0.366",54.5
"Berríos, José",621244,"TOR","SI","Sinker",0.2,1,"603",31.6,"177","0.248","0.435","0.326",9.8,16.4,24.2,"0.293","0.515","0.376",49.6
"Bello, Brayan",678394,"BOS","SI","Sinker",0.3,2,"605",35.8,"177","0.275","0.353","0.361",10.8,13,17.6,"0.281","0.372","0.337",34.4
"Patrick, Chad",694477,"MIL","FC","Cutter",0.1,1,"669",42.1,"176","0.274","0.452","0.343",25.5,22.7,19,"0.268","0.464","0.344",40
"Roupp, Landen",694738,"SF","SI","Sinker",-0.7,-5,"670",39,"175","0.346","0.458","0.409",9.6,12.6,19.6,"0.322","0.475","0.385",46.2
"Anderson, Tyler",542881,"LAA","CH","Changeup",-0.7,-4,"648",33.6,"174","0.244","0.429","0.33",39,25.9,20.3,"0.225","0.382","0.299",24.1
"Baz, Shane",669358,"TB","CU","Curveball",0.6,3,"541",28,"172","0.194","0.275","0.246",27.1,32,23.9,"0.206","0.284","0.243",41.5
"Crochet, Garrett",676979,"BOS","FC","Cutter",1.6,10,"627",28.7,"171","0.239","0.319","0.274",24.2,20.5,23.5,"0.253","0.381","0.295",36.4
"Springs, Jeffrey",605488,"ATH","CH","Changeup",-0.6,-3,"521",26.3,"171","0.208","0.384","0.308",39.1,23.4,17.9,"0.23","0.359","0.276",24.8
"May, Dustin",669160,"LAD","ST","Sweeper",0.6,4,"685",41.1,"167","0.217","0.325","0.262",28.3,34.7,25.7,"0.209","0.32","0.257",30.7
"Fedde, Erick",607200,"ATL","SI","Sinker",-0.1,-1,"631",36.2,"166","0.288","0.445","0.367",10.8,14.5,15.9,"0.314","0.487","0.383",50
"Kikuchi, Yusei",579328,"LAA","FF","4-Seam Fastball",-1.1,-8,"780",35.3,"164","0.318","0.468","0.373",22.4,26.8,16.9,"0.276","0.468","0.34",52.7
"Brown, Hunter",686613,"HOU","FF","4-Seam Fastball",1.9,15,"791",39.6,"163","0.152","0.232","0.211",32.1,42.9,26.5,"0.174","0.282","0.231",38.3
"Roupp, Landen",694738,"SF","CU","Curveball",0.7,4,"634",36.9,"163","0.182","0.301","0.266",35.2,29.4,23.9,"0.179","0.292","0.258",18.4
"Smith, Shane",681343,"CWS","FF","4-Seam Fastball",1.4,9,"650",44.9,"163","0.214","0.307","0.293",24.2,22.7,22.3,"0.236","0.378","0.324",38.5
"Severino, Luis",622663,"ATH","SI","Sinker",0.5,2,"480",21.6,"162","0.248","0.39","0.336",9.8,13.6,17.9,"0.266","0.376","0.327",42.5
"Elder, Bryce",693821,"ATL","SL","Slider",-0.2,-1,"570",38.1,"161","0.277","0.466","0.355",29.5,21.1,19.8,"0.287","0.469","0.349",41.7
"Kelly, Merrill",518876,"AZ","CH","Changeup",1.6,8,"513",25.5,"159","0.178","0.274","0.25",33.7,28.3,22.8,"0.232","0.332","0.28",37.6
